e,de,dde
-2.4880396575,-0.0064894375000382086,-0.012570312492313246
-2.488091573,-0.006589999999976659,-0.010023437503625648
-2.488144293,-0.0066701875000056195,-0.011171875001504565
-2.4881976545,-0.0067595625000176065,0.2682265625028799
-2.488251731,-0.004613749999995757,0.12084374999984451
-2.488288641,-0.0036469999999975363,-0.026093750001039435
-2.488317817,-0.003855750000005736,-0.025140624998504335
-2.488348663,-0.004056874999993659,0.27870312499542554
-2.488381118,-0.0018272500000314908,-0.026531249995605497
-2.488395736,-0.002039499999996217,-0.027265625000857645
-2.488412052,-0.0022576250000029574,-0.027687499994130827
-2.488430113,-0.002479124999955881,-0.012578125006837502
-2.488449946,-0.0025797500000105254,0.2859062500016168
-2.488470584,-0.00029249999999885867,-0.0251250000041504
-2.488472924,-0.0004935000000319505,-0.034249999995888056
-2.488476872,-0.0007674999999989031,-0.032812500001847295
-2.488483012,-0.001030000000013536,0.3850937500067647
-2.488491252,0.0020507500000388743,-0.036781250004099535
-2.488474846,0.0017565000000062411,-0.03190625000319063
-2.488460794,0.0015012499999808575,0.3250468750066455
-2.488448784,0.00410162500003258,0.24445312499259853
-2.488415971,0.0060572499999722845,-0.04329687499503931
-2.488367513,0.005710875000012162,-0.042843749999180475
-2.488321826,0.005368125000018908,-0.039812500005109386
-2.488278881,0.0050496249999782096,0.2542500000052337
-2.488238484,0.0070836250000189515,-0.04771875000008935
-2.488181815,0.006701875000018448,-0.46496875000297444
-2.4881282,0.0029821249999967144,-0.03493750000420057
-2.488104343,0.002702624999963265,0.39163281250658266
-2.488082722,0.00583568750001419,-0.03190625000319063
-2.4880360365,0.005580437499988806,-0.03397656249408016
-2.487991393,0.0053086250000363155,-0.03517187500277645
-2.487948924,0.00502725000001426,0.31315624999424274
-2.487908706,0.007532499999966813,-0.0398124999912316
-2.487848446,0.007214000000037137,0.2046718749900748
-2.487790734,0.008851374999956828,-0.04401562499205985
-2.487719923,0.008499250000020544,0.13876562499780376
-2.487651929,0.009609375000002359,-0.053781249995170206
-2.487575054,0.009179125000041236,-0.060546875006795564
-2.487501621,0.00869474999998714,-0.05353124999530166
-2.487432063,0.008266500000024964,0.20394531249240797
-2.487365931,0.009898062499963323,-0.07543749998986678
-2.4872867465,0.009294562500044724,-0.04539843750933138
-2.48721239,0.008931374999970274,-0.04725781249664499
-2.487140939,0.008553312499997323,-0.03935937499537287
-2.4870725125,0.008238437500034515,0.1413359374953694
-2.487006605,0.009369124999996844,-0.051218749998251
-2.486931652,0.008959375000011063,-0.04610937499876607
-2.486859977,0.008590500000021139,-0.04656250000156402
-2.486791253,0.008218000000008833,-0.021187500004484015
-2.486725509,0.008048499999973055,-0.05076562499545316
-2.486661121,0.0076423750000096545,-0.04656250000156402
-2.486599982,0.007269874999997349,-0.03514062500019069
-2.486541823,0.006988749999995979,0.28799218750073796
-2.486485913,0.009292687500000606,-0.04865624999439267
-2.4864115715,0.00890343750004568,-0.04702343750500838
-2.486340344,0.008527250000005822,-0.047750000002675
-2.486272126,0.008145249999984634,0.3010624999997277
-2.486206964,0.01055374999998112,-0.0505156249955845
-2.486122534,0.010149625000016668,-0.04331250000327114
-2.486041337,0.00980312499999069,-0.04728124999858445
-2.485962912,0.009424875000002225,0.593046875004657
-2.485887513,0.014169250000036852,-0.058921875004179676
-2.485774159,0.013697875000003676,-0.055187500000503195
-2.485664576,0.013256374999999895,-0.13573437499679378
-2.485558525,0.012170500000026147,0.6442499999946761
-2.485461161,0.0173244999999807,-0.07101562499175552
-2.485322565,0.01675637500004697,-0.06659375000752249
-2.485188514,0.016223624999987085,-0.06635937499506897
-2.485058725,0.015692750000026828,0.549953124998669
-2.484933183,0.02009237500001374,-0.0763671875043408
-2.484772444,0.019481437499979354,-0.12620312499225894
-2.4846165925,0.018471812500041842,-0.07263281250760321
-2.484468818,0.017890749999981338,0.4549375000056411
-2.484325692,0.02153025000002445,-0.08054687500322948
-2.48415345,0.02088587499999897,-0.08171874999610854
-2.483986363,0.020232125000030465,-0.07778125000338088
-2.483824506,0.019609875000003763,-0.07356250000126012
-2.483667627,0.01902137499999401,0.14760937500096452
-2.483515456,0.02020225000000107,-0.03399999999601918
-2.483353838,0.019930250000033067,-0.0756562500010279
-2.483194396,0.01932500000002518,-0.076156250000765
-2.483039796,0.018715750000019397,0.013296874996918982
-2.48289007,0.01882212499999469,-0.0689375000002199
-2.482739493,0.018270624999993237,-0.06843749999354391
-2.482593328,0.01772312500004519,-0.06357812500780533
-2.482451543,0.017214499999983028,0.33621875000121126
-2.482313827,0.019904249999991228,-0.07496874999271533
-2.482154593,0.019304500000049837,-0.07148437500972452
-2.482000157,0.018732624999972358,-0.07381249999418978
-2.481850296,0.018142125000019167,0.2114218750004071
-2.481705159,0.019833500000021487,-0.07148437500278519
-2.481546491,0.019261624999999522,-0.07007812499745263
-2.481392398,0.018701000000020212,-0.07265625000260313
-2.48124279,0.01811974999999971,0.2523906250040417
-2.481097832,0.020138875000030924,-0.0789218750006136
-2.480936721,0.019507500000026365,-0.07451562500379517
-2.480780661,0.018911374999996334,-0.0782187499979471
-2.48062937,0.018285625000013104,0.25471874999544675
-2.480483085,0.02032337499997555,-0.07357812499561406
-2.480320498,0.019734750000010962,-0.07335937499833116
-2.48016262,0.019147875000024638,0.1508906250018435
-2.480009437,0.020355000000038717,0.06217187499553344
-2.479846597,0.02085237500000271,-0.07498437500094705
-2.479679778,0.020252499999995465,-0.07753124999657343
-2.479517758,0.01963225000002322,-0.07356250000126012
-2.4793607,0.019043750000013467,0.08846874999950216
-2.47920835,0.01975150000000909,-0.08009375000043154
-2.479050338,0.019110750000005994,-0.07846874999781565
-2.478897452,0.018483000000023817,-0.1047812500030772
-2.478749588,0.017644749999999664,-0.07285937499859363
-2.47860843,0.017061875000011238,0.1718281249995194
-2.478471935,0.01843650000000663,-0.0698593750001693
-2.478324443,0.017877625000005587,-0.07193749999864424
-2.478181422,0.017302125000016752,-0.07125000000420946
-2.478043005,0.016732124999983392,0.12829687500590448
-2.477909148,0.01775850000003006,-0.15110937499912638
-2.47776708,0.016549625000037718,-0.0731093750054015
-2.477634683,0.01596474999999483,-0.06962500000159336
-2.477506965,0.015407749999982392,0.08639062500796633
-2.477383703,0.01609887500004574,-0.06915625000444191
-2.477254912,0.015545625000010511,-0.06706250000467437
-2.477130547,0.015009124999973414,-0.06076562499713956
-2.477010474,0.014522999999996566,0.28895312500391945
-2.47689429,0.01683462500002664,0.0356249999986355
-2.476759613,0.017119625000015567,-0.06915625000444213
-2.476622656,0.016566374999980336,-0.07171874999442202
-2.476490125,0.01599262500002528,0.37626562499795757
-2.476362184,0.01900275000000727,-0.07590625000089644
-2.476210162,0.018395500000000436,-0.07357812499561406
-2.476062998,0.01780687500003585,-0.06960937500030075
-2.475920543,0.017250000000033752,0.4691406249942778
-2.475782543,0.021003124999985894,-0.08753124999825995
-2.475614518,0.020302875000000203,-0.07496874999965422
-2.475452095,0.0197031250000033,-0.07032812499732075
-2.47529447,0.019140500000025047,0.21956250000090158
-2.475141346,0.020897000000031286,-0.08173437500434025
-2.47497417,0.020243124999996927,-0.07704687499812916
