e,edot,e_next,edot_next,dt
-2.4880396575,-0.011026581,-2.488091573,-0.011029134,0.007999999999995566
-2.488091573,-0.011029134,-2.488144293,-0.01101614,0.007999999999995566
-2.488144293,-0.01101614,-2.4881976545,-0.01097182,0.007999999999995566
-2.4881976545,-0.01097182,-2.488251731,-0.010968911,0.007999999999995566
-2.488251731,-0.010968911,-2.488288641,-0.010975098,0.007999999999995566
-2.488288641,-0.010975098,-2.488317817,-0.011019515,0.007999999999995566
-2.488317817,-0.011019515,-2.488348663,-0.011022283,0.007999999999995566
-2.488348663,-0.011022283,-2.488381118,-0.011079011,0.007999999999995566
-2.488381118,-0.011079011,-2.488395736,-0.011064699,0.007999999999995566
-2.488395736,-0.011064699,-2.488412052,-0.011067071,0.007999999999995566
-2.488412052,-0.011067071,-2.488430113,-0.011065149,0.007999999999995566
-2.488430113,-0.011065149,-2.488449946,-0.011072474,0.007999999999995566
-2.488449946,-0.011072474,-2.488470584,-0.011074483,0.007999999999995566
-2.488470584,-0.011074483,-2.488472924,-0.01101462,0.007999999999995566
-2.488472924,-0.01101462,-2.488476872,-0.011000325,0.007999999999995566
-2.488476872,-0.011000325,-2.488483012,-0.0110290265,0.007999999999995566
-2.488483012,-0.0110290265,-2.488491252,-0.011045819,0.007999999999995566
-2.488491252,-0.011045819,-2.488474846,-0.011033245,0.007999999999995566
-2.488474846,-0.011033245,-2.488460794,-0.011003644,0.007999999999995566
-2.488460794,-0.011003644,-2.488448784,-0.010956504,0.007999999999995566
-2.488448784,-0.010956504,-2.488415971,-0.01093858,0.007999999999995566
-2.488415971,-0.01093858,-2.488367513,-0.01088693,0.007999999999995566
-2.488367513,-0.01088693,-2.488321826,-0.010839013,0.007999999999995566
-2.488321826,-0.010839013,-2.488278881,-0.010769969,0.007999999999995566
-2.488278881,-0.010769969,-2.488238484,-0.010720078,0.007999999999995566
-2.488238484,-0.010720078,-2.488181815,-0.010747238,0.007999999999995566
-2.488181815,-0.010747238,-2.4881282,-0.010648715,0.007999999999995566
-2.4881282,-0.010648715,-2.488104343,-0.010653852,0.007999999999995566
-2.488104343,-0.010653852,-2.488082722,-0.010582706,0.007999999999995566
-2.488082722,-0.010582706,-2.4880360365,-0.01048526,0.007999999999995566
-2.4880360365,-0.01048526,-2.487991393,-0.01034931,0.007999999999995566
-2.487991393,-0.01034931,-2.487948924,-0.010318832,0.007999999999995566
-2.487948924,-0.010318832,-2.487908706,-0.010189627,0.007999999999995566
-2.487908706,-0.010189627,-2.487848446,-0.010089315,0.007999999999995566
-2.487848446,-0.010089315,-2.487790734,-0.0100256875,0.007999999999995566
-2.487790734,-0.0100256875,-2.487719923,-0.009909808,0.007999999999995566
